pid,UTMx,UTMy,h
362,327419.265729,1967738.693205,-38.796000
363,327418.524252,1967739.388066,-38.891000
364,327417.623119,1967739.890625,-38.858000
365,327416.872843,1967740.549039,-38.821000
366,327416.151674,1967741.262538,-38.920000
367,327415.536040,1967742.163275,-38.882000
368,327414.873173,1967742.875162,-38.916000
369,327414.207295,1967743.728744,-38.832000
370,327413.435107,1967744.550045,-38.909000
371,327412.519581,1967745.226496,-38.817000
372,327411.658194,1967745.910223,-38.839000
373,327410.680204,1967746.475431,-38.854000
374,327410.017885,1967747.250400,-38.805000
375,327409.239614,1967747.737505,-38.661000
376,327408.818965,1967748.625481,-38.888000
377,327408.092271,1967749.435319,-38.844000
378,327407.326406,1967750.252139,-38.855000
379,327406.371499,1967750.911223,-38.933000
380,327405.514357,1967751.839514,-38.902000
381,327404.674524,1967752.807499,-39.047000
382,327403.838711,1967753.749994,-38.813000
383,327403.045041,1967754.539385,-38.855000
384,327402.325839,1967755.235160,-38.778000
385,327401.588741,1967755.823732,-38.835000
386,327400.806313,1967756.442581,-38.762000
387,327399.934125,1967756.981414,-38.838000
388,327399.376055,1967757.795322,-38.889000
389,327398.496628,1967758.355247,-38.852000
390,327397.815534,1967759.165797,-38.869000
391,327396.882210,1967760.112459,-38.955000
392,327395.609362,1967761.643133,-38.959000
393,327394.872099,1967762.334638,-38.845000
394,327394.076876,1967763.189344,-38.921000
395,327393.288032,1967763.679861,-38.736000
396,327392.581951,1967764.299154,-38.791000
397,327391.801250,1967764.872610,-38.769000
398,327391.181363,1967765.527679,-38.756000
399,327390.532809,1967766.300315,-38.907000
400,327389.665293,1967767.010660,-38.772000
401,327388.855682,1967767.795764,-39.016000
402,327387.978915,1967768.417647,-38.860000
403,327387.103672,1967768.970895,-38.830000
404,327386.196517,1967769.512246,-38.777000
405,327385.397678,1967770.072579,-38.869000
406,327384.508047,1967770.556225,-38.840000
407,327383.687907,1967771.105675,-38.938000
408,327382.693209,1967771.578059,-38.831000
409,327381.855100,1967772.256052,-38.861000
410,327380.828785,1967772.872593,-38.945000
411,327379.912284,1967773.680761,-38.894000
412,327378.811555,1967774.152960,-38.813000
413,327377.838241,1967774.767934,-38.877000
414,327376.823392,1967775.117640,-38.831000
415,327375.910610,1967775.621410,-38.796000
416,327374.957881,1967775.920771,-38.864000
417,327374.019947,1967776.214470,-38.842000
418,327373.028897,1967776.496456,-38.908000
419,327372.126373,1967776.838546,-38.876000
420,327371.303046,1967777.265171,-38.849000
421,327370.383434,1967777.593021,-38.814000
422,327369.475677,1967777.942904,-38.866000
423,327368.586790,1967778.390020,-38.952000
424,327367.697662,1967778.809469,-38.874000
425,327366.805815,1967779.282068,-38.890000
426,327365.919207,1967779.503380,-38.795000
427,327365.070152,1967779.653531,-38.793000
428,327364.242032,1967779.772511,-38.687000
429,327363.501427,1967779.957138,-38.809000
430,327362.759444,1967780.105253,-38.867000
431,327361.907600,1967780.422554,-38.955000
432,327361.318667,1967780.490757,-38.912000
433,327360.621636,1967780.687180,-38.899000
434,327359.887635,1967780.777672,-38.930000
435,327359.132776,1967780.908191,-38.941000
436,327358.208734,1967781.092198,-38.879000
437,327357.380989,1967781.254339,-38.905000
438,327356.470788,1967781.444867,-38.880000
439,327355.528373,1967781.710936,-38.999000
440,327354.597409,1967781.952556,-38.902000
441,327353.606102,1967782.082915,-38.810000
442,327352.609812,1967782.249842,-38.847000
443,327351.648511,1967782.294717,-38.802000
444,327350.658091,1967782.405147,-38.801000
445,327349.496690,1967782.362112,-38.819000
446,327348.414692,1967782.671452,-38.891000
447,327347.240948,1967782.916288,-38.783000
448,327346.135914,1967783.259032,-38.912000
449,327345.064099,1967783.764185,-38.947000
450,327343.830324,1967784.177775,-38.920000
451,327342.625469,1967784.380825,-38.856000
452,327341.498410,1967784.751430,-38.897000
453,327340.472580,1967785.301562,-38.846000
454,327339.318401,1967785.601569,-38.915000
455,327338.311104,1967786.210200,-38.893000
456,327337.072024,1967786.379236,-38.850000
457,327335.993914,1967787.013939,-38.886000
458,327334.822538,1967787.409279,-38.890000
459,327333.628850,1967787.799279,-38.782000
460,327332.494192,1967788.393522,-38.832000
461,327331.292419,1967788.707224,-38.782000
462,327330.039866,1967789.278142,-38.868000
463,327328.878153,1967789.931280,-38.935000
464,327327.657909,1967790.437724,-38.878000
465,327326.387589,1967791.160426,-38.870000
466,327325.482947,1967791.502537,-39.001000
467,327324.376052,1967791.875181,-38.852000
468,327323.243408,1967792.578979,-38.868000
469,327322.421164,1967792.886064,-38.819000
470,327321.204923,1967793.243057,-38.810000
471,327320.243193,1967793.604479,-38.889000
472,327319.226391,1967793.851274,-38.923000
473,327318.326595,1967794.263071,-38.903000
474,327317.399486,1967794.582134,-38.835000
475,327316.559517,1967794.923683,-38.917000
476,327315.757497,1967795.117700,-38.879000
477,327314.982139,1967795.207447,-38.746000
478,327314.279079,1967795.198062,-38.850000
479,327313.633397,1967795.202566,-38.834000
480,327313.057413,1967795.540714,-38.894000
481,327312.475916,1967795.854561,-38.892000
482,327311.858533,1967796.309282,-38.986000
483,327311.195466,1967796.631585,-39.021000
484,327310.484885,1967796.854691,-38.953000
485,327309.777140,1967796.916181,-38.892000
486,327309.139233,1967797.083315,-38.878000
487,327308.509182,1967797.178440,-38.833000
488,327307.805836,1967797.014108,-38.823000
489,327307.128020,1967796.981261,-38.770000
490,327306.434292,1967796.947445,-38.797000
491,327305.680582,1967796.966170,-38.867000
492,327305.036739,1967797.060308,-38.967000
493,327304.459341,1967797.235771,-38.999000
