PTID,EAST,NORTH,LAT,LON,ELLIPSOID_ELEV,ORTHOMETRIC_ELEV,SONARDEPTH
P27,327614.498,1967612.382,17.78920987,-64.62628843,-41.436,0.148, 
P28,327612.985,1967613.888,17.78922336,-64.62630283,-41.631,-0.047, 
P29,327611.764,1967615.005,17.78923336,-64.62631444,-41.776,-0.191, 
P30,327611.046,1967615.607,17.78923874,-64.62632126,-42.161,-0.577, 
P31,327610.283,1967616.400,17.78924585,-64.62632852,-42.267,-0.682, 
P32,327609.324,1967617.083,17.78925193,-64.62633761,-42.368,-0.783, 
P33,327608.509,1967617.777,17.78925815,-64.62634536,-42.486,-0.901, 
P34,327607.750,1967618.406,17.78926377,-64.62635256,-42.549,-0.964, 
P35,327606.961,1967619.366,17.78927238,-64.62636009,-42.606,-1.021, 
P36,327606.213,1967620.413,17.78928178,-64.62636722,-42.544,-0.959, 
P37,327605.337,1967621.184,17.78928868,-64.62637555,-42.687,-1.102, 
P38,327604.456,1967621.901,17.78929509,-64.62638392,-42.759,-1.173, 
P39,327603.212,1967621.582,17.78929211,-64.62639562,-42.657,-1.071, 
P40,327601.925,1967621.040,17.78928711,-64.62640772,-42.709,-1.123, 
P41,327600.830,1967620.412,17.78928135,-64.62641800,-42.670,-1.085, 
P42,327599.688,1967620.822,17.78928496,-64.62642880,-42.763,-1.178, 
P43,327601.109,1967618.481,17.78926392,-64.62641520,-42.475,-0.890, 
P44,327603.160,1967617.404,17.78925436,-64.62639577,-42.536,-0.951, 
P45,327604.044,1967616.505,17.78924630,-64.62638737,-42.585,-1.000, 
P46,327604.854,1967615.520,17.78923747,-64.62637965,-42.536,-0.951, 
P47,327605.970,1967614.324,17.78922675,-64.62636902,-42.404,-0.819, 
P48,327607.385,1967612.810,17.78921318,-64.62635555,-42.223,-0.638, 
P49,327607.736,1967612.350,17.78920905,-64.62635221,-42.146,-0.562, 
P50,327608.339,1967611.707,17.78920329,-64.62634646,-41.764,-0.180, 
P51,327609.416,1967610.423,17.78919177,-64.62633620,-41.643,-0.059, 
P52,327611.135,1967608.244,17.78917222,-64.62631981,-41.337,0.247, 
P53,327626.447,1967619.526,17.78927535,-64.62617633,-41.004,0.581, 
P54,327624.971,1967621.690,17.78929479,-64.62619042,-41.357,0.228, 
P55,327622.701,1967624.311,17.78931829,-64.62621204,-41.650,-0.064, 
P56,327621.672,1967625.389,17.78932795,-64.62622184,-41.781,-0.195, 
P57,327620.883,1967626.098,17.78933430,-64.62622934,-42.137,-0.551, 
P58,327620.123,1967626.912,17.78934159,-64.62623657,-42.312,-0.726, 
P59,327619.327,1967627.734,17.78934896,-64.62624415,-42.387,-0.801, 
P60,327618.287,1967628.492,17.78935572,-64.62625402,-42.536,-0.950, 
P61,327617.386,1967629.450,17.78936431,-64.62626259,-42.637,-1.051, 
P62,327616.531,1967630.183,17.78937086,-64.62627071,-42.712,-1.126, 
P63,327616.100,1967631.225,17.78938024,-64.62627486,-42.759,-1.172, 
P64,327632.700,1967629.426,17.78936529,-64.62611816,-41.376,0.210, 
P65,327630.665,1967631.289,17.78938196,-64.62613751,-41.679,-0.093, 
P66,327629.760,1967632.462,17.78939249,-64.62614613,-41.767,-0.181, 
P67,327628.855,1967633.301,17.78940001,-64.62615474,-42.240,-0.654, 
P68,327628.195,1967634.171,17.78940781,-64.62616104,-42.359,-0.772, 
P69,327627.483,1967634.885,17.78941421,-64.62616781,-42.484,-0.898, 
P70,327627.476,1967634.891,17.78941426,-64.62616788,-42.488,-0.902, 
P71,327626.916,1967635.767,17.78942213,-64.62617323,-42.445,-0.858, 
P72,327626.407,1967636.243,17.78942639,-64.62617806,-42.336,-0.749, 
P73,327626.378,1967636.263,17.78942657,-64.62617834,-42.341,-0.754, 
P74,327625.717,1967636.975,17.78943295,-64.62618463,-42.495,-0.908, 
P75,327625.183,1967637.957,17.78944178,-64.62618975,-42.457,-0.870, 
P76,327624.895,1967638.382,17.78944560,-64.62619250,-42.400,-0.813, 
P77,327624.739,1967638.951,17.78945072,-64.62619402,-42.104,-0.517, 
P78,327624.440,1967639.562,17.78945623,-64.62619689,-42.095,-0.508, 
P79,327624.514,1967640.369,17.78946352,-64.62619626,-42.211,-0.624, 
P80,327624.828,1967641.035,17.78946956,-64.62619335,-42.377,-0.789, 
P81,327624.919,1967642.018,17.78947845,-64.62619257,-42.493,-0.906, 
P82,327624.237,1967642.577,17.78948345,-64.62619905,-42.438,-0.851, 
P83,327623.378,1967642.430,17.78948205,-64.62620714,-42.391,-0.804, 
P84,327622.147,1967641.848,17.78947670,-64.62621870,-42.526,-0.939, 
P85,327621.522,1967640.938,17.78946842,-64.62622452,-42.484,-0.897, 
P86,327620.903,1967640.163,17.78946137,-64.62623030,-42.324,-0.737, 
P87,327621.058,1967639.499,17.78945539,-64.62622878,-42.046,-0.459, 
P88,327620.994,1967638.678,17.78944797,-64.62622932,-42.064,-0.477, 
P89,327621.175,1967638.210,17.78944375,-64.62622757,-42.671,-1.084, 
P90,327619.505,1967638.875,17.78944963,-64.62624338,-42.290,-0.703, 
P91,327619.649,1967640.633,17.78946553,-64.62624217,-42.304,-0.717, 
P92,327619.407,1967641.639,17.78947460,-64.62624453,-42.484,-0.896, 
P93,327618.400,1967642.282,17.78948033,-64.62625408,-42.498,-0.910, 
P94,327618.673,1967643.180,17.78948846,-64.62625158,-42.659,-1.071, 
P95,327618.858,1967644.255,17.78949819,-64.62624992,-42.718,-1.131, 
P96,327619.073,1967645.751,17.78951172,-64.62624801,-42.779,-1.191, 
P97,327619.489,1967646.577,17.78951921,-64.62624416,-42.770,-1.182, 
P98,327620.029,1967648.052,17.78953258,-64.62623918,-42.442,-0.854, 
P99,327619.893,1967649.151,17.78954251,-64.62624056,-42.492,-0.904, 
P100,327619.928,1967650.301,17.78955290,-64.62624032,-42.372,-0.784, 
P101,327620.183,1967650.968,17.78955895,-64.62623798,-42.168,-0.580, 
P102,327621.654,1967650.917,17.78955860,-64.62622409,-42.036,-0.448, 
P103,327622.758,1967650.738,17.78955707,-64.62621367,-41.996,-0.407, 
P104,327623.876,1967650.544,17.78955541,-64.62620311,-42.188,-0.600, 
P105,327626.162,1967649.827,17.78954911,-64.62618149,-42.084,-0.496, 
P106,327626.971,1967649.883,17.78954968,-64.62617387,-42.120,-0.532, 
P107,327627.310,1967648.810,17.78954000,-64.62617058,-42.320,-0.732, 
P108,327628.890,1967648.261,17.78953517,-64.62615563,-42.182,-0.595, 
P109,327629.229,1967647.220,17.78952579,-64.62615236,-42.132,-0.545, 
P110,327629.771,1967646.588,17.78952012,-64.62614718,-42.308,-0.721, 
P111,327630.465,1967648.030,17.78953321,-64.62614076,-42.077,-0.489, 
P112,327630.257,1967649.254,17.78954425,-64.62614282,-42.157,-0.569, 
P113,327630.459,1967650.260,17.78955335,-64.62614100,-42.170,-0.582, 
P114,327630.454,1967650.270,17.78955344,-64.62614105,-42.178,-0.590, 
P115,327630.448,1967650.253,17.78955329,-64.62614110,-42.160,-0.572, 
P116,327629.216,1967651.084,17.78956070,-64.62615279,-42.330,-0.742, 
P117,327628.802,1967651.273,17.78956238,-64.62615671,-42.337,-0.749, 
P118,327628.137,1967652.294,17.78957155,-64.62616307,-42.295,-0.707, 
P119,327626.871,1967652.091,17.78956962,-64.62617499,-42.233,-0.645, 
P120,327626.940,1967653.432,17.78958174,-64.62617445,-42.246,-0.658, 
P121,327625.337,1967652.271,17.78957112,-64.62618947,-42.225,-0.637, 
P122,327625.152,1967653.465,17.78958190,-64.62619131,-42.368,-0.780, 
P123,327625.435,1967654.627,17.78959241,-64.62618874,-42.387,-0.799, 
P124,327623.767,1967654.198,17.78958841,-64.62620443,-42.461,-0.872, 
P125,327623.315,1967653.346,17.78958068,-64.62620863,-42.224,-0.635, 
P126,327622.064,1967654.594,17.78959186,-64.62622053,-42.504,-0.915, 
P127,327622.442,1967655.637,17.78960131,-64.62621705,-42.467,-0.878, 
P128,327620.769,1967655.853,17.78960313,-64.62623284,-42.518,-0.929, 
P129,327619.936,1967654.418,17.78959009,-64.62624059,-42.502,-0.913, 
P130,327618.650,1967654.531,17.78959102,-64.62625272,-42.496,-0.907, 
P131,327618.859,1967652.842,17.78957578,-64.62625061,-42.288,-0.700, 
P132,327617.444,1967653.273,17.78957956,-64.62626400,-42.342,-0.753, 
P133,327616.840,1967654.962,17.78959477,-64.62626983,-42.640,-1.051, 
